單字,讀音,羅馬,意思,例句,tags
出身,しゅっしん,shusshin,出身地,ご出身はどちらですか。,nativecamp-20260710
どちら,どちら,dochira,哪裡（禮貌問法）,ご出身はどちらですか。,nativecamp-20260710
住む,すむ,sumu,住,東京に住んでいます。,nativecamp-20260710
一駅,ひとえき,hitoeki,一站,ここから一駅だけです。,nativecamp-20260710
だけ,だけ,dake,只有,ここから一駅だけです。,nativecamp-20260710
勉強する,べんきょうする,benkyousuru,學習,日本語を勉強しています。,nativecamp-20260710
ため,ため,tame,為了（目的）,日本に住むために勉強しています。,nativecamp-20260710
漢字,かんじ,kanji,漢字,漢字もだいたい読めます。,nativecamp-20260710
だいたい,だいたい,daitai,大致上、差不多,漢字もだいたい読めます。,nativecamp-20260710
質問,しつもん,shitsumon,問題、提問,質問がありますか。,nativecamp-20260710
あります,あります,arimasu,有,はい、質問があります。,nativecamp-20260710
ありません,ありません,arimasen,沒有,いいえ、質問はありません。,nativecamp-20260710
いつでも,いつでも,itsudemo,隨時,いつでも教えてください。,nativecamp-20260710
教える,おしえる,oshieru,教、告訴,読めない漢字があったら教えてください。,nativecamp-20260710
よろしくお願いします,よろしくおねがいします,yoroshikuonegaishimasu,請多指教,よろしくお願いします。,nativecamp-20260710
