單字,讀音,羅馬,意思,例句,tags
犬,いぬ,inu,狗,いぬが すきです。,n5-batch1
猫,ねこ,neko,貓,ねこが います。,n5-batch1
水,みず,mizu,水,みずを ください。,n5-batch1
本,ほん,hon,書,ほんを よみます。,n5-batch1
車,くるま,kuruma,車子,くるまが あります。,n5-batch1
魚,さかな,sakana,魚,さかなを たべます。,n5-batch1
花,はな,hana,花,はなが きれいです。,n5-batch1
山,やま,yama,山,やまへ いきます。,n5-batch1
川,かわ,kawa,河,かわで およぎます。,n5-batch1
木,き,ki,樹木,きが おおきいです。,n5-batch1
学校,がっこう,gakkou,學校,がっこうへ いきます。,n5-batch1
駅,えき,eki,車站,えきは どこですか。,n5-batch1
電車,でんしゃ,densha,電車,でんしゃに のります。,n5-batch1
傘,かさ,kasa,雨傘,かさを かいます。,n5-batch1
時計,とけい,tokei,時鐘,とけいを みます。,n5-batch1
お金,おかね,okane,錢,おかねが ありません。,n5-batch1
鍵,かぎ,kagi,鑰匙,かぎは どこですか。,n5-batch1
財布,さいふ,saifu,錢包,さいふを わすれました。,n5-batch1
食べ物,たべもの,tabemono,食物,たべものが すきです。,n5-batch1
飲み物,のみもの,nomimono,飲料,のみものを かいます。,n5-batch1
家,いえ,ie,家／房子,いえ に かえります。,n5-batch2
友達,ともだち,tomodachi,朋友,友達 と あそびます。,n5-batch2
先生,せんせい,sensei,老師,先生 は やさしい です。,n5-batch2
学生,がくせい,gakusei,學生,わたし は 学生 です。,n5-batch2
名前,なまえ,namae,名字,お名前 は なん です か。,n5-batch2
手紙,てがみ,tegami,信,手紙 を かきます。,n5-batch2
天気,てんき,tenki,天氣,いい 天気 です ね。,n5-batch2
部屋,へや,heya,房間,部屋 を そうじ します。,n5-batch2
仕事,しごと,shigoto,工作,仕事 が いそがしい です。,n5-batch2
切符,きっぷ,kippu,票,切符 を かいます。,n5-batch2
